NGR,22300
MKR,1100
TST,0
LOL,500
WPR,2500
NGO,15500
TRE,20400
ERY,23300
YMA,16400
PQW,19800
NGR,33100
NSE,8200
YTY,15600
FGT,16100
RTD,19700
ERW,7700
FED,2200
GRE,7500
YTT,24600
SNS,21500
T5R,13500
RED,21600
OSR,23200
NDM,42800
RER,6900
IRL,35800
WLM,40300
NOC,34400
TER,18500
HGH,8700
YRE,31900
ERE,27700
DSW,11700
FGT,16400
RWE,7700
QWQ,23700
IHN,35600
RWE,28000
TYR,23600
POP,8300
XYZ,38600
YTY,7700
QWQ,7800
QAQ,9700
ALM,30200
PLO,7700
